Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
The regulation of AMPA receptor endocytosis by dynamic protein-protein interactions,218,35.32,19.27,45.41
Carbonaceous material export from Siberian permafrost tracked across the Arctic Shelf using Raman spectroscopy,288,34.38,21.18,44.44
Psychological Support for Personality (PSP) versus treatment as usual: Study protocol for a feasibility randomized controlled trial of a low intensity intervention for people with personality disorder,152,32.89,13.16,53.95
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state with two b quarks and two τ leptons in proton–proton collisions at s=13TeV,99,44.44,11.11,44.44
 III. Physikalisches Institut B,83,37.35,13.25,49.4
Study of jet quenching with isolated-photon+jet correlations in PbPb and pp collisions at sNN=5.02 TeV,309,33.01,17.15,49.84
 A.,199,31.66,13.57,54.77
Optimal gut size of small birds and its dependence on environmental and physiological parameters,221,37.56,19.46,42.99
Chiral Aniline Synthesis via Stereospecific C(sp3)-C(sp2) Coupling of Boronic Esters with Aryl Hydrazines,238,32.35,19.33,48.32
Pseudorapidity and transverse momentum dependence of flow harmonics in p Pb and PbPb collisions,255,29.02,16.08,54.9
 Aachen,229,31.88,16.59,51.53
Search for Pair-Produced Resonances Each Decaying into at Least Four Quarks in Proton-Proton Collisions at s =13 TeV,266,33.08,18.05,48.87
 III. Physikalisches Institut B,153,30.72,11.11,58.17
OPtimising Treatment for MIld Systolic hypertension in the Elderly (OPTiMISE): protocol for a randomised controlled non-inferiority trial,88,31.82,12.5,55.68
Human atrial arrhythmogenesis and sinus bradycardia in KCNQ1 - Linked short QT syndrome: Insights from computational modelling,253,32.81,16.21,50.99
Developmental studies provide new insights into the evolution of sense organs in Sabellariidae (Annelida),189,31.22,13.23,55.56
Observation of the Z →ψ + - Decay in pp Collisions at s =13 TeV,266,41.35,11.28,47.37
 RWTH Aachen University,323,33.75,15.17,51.08
TBXA2R gene variants associated with bleeding,457,34.35,19.91,45.73
A two-decade anthropogenic and biogenic isoprene emissions study in a London urban background and a London urban traffic site,160,28.75,14.38,56.88
Infection after knee replacement: A qualitative study of impact of periprosthetic knee infection 11 Medical and Health Sciences 1103 Clinical Sciences,313,34.5,11.82,53.67
Hazard communication by volcanologists: Part 1 - Framing the case for contextualisation and related quality standards in volcanic hazard assessments,201,31.84,17.91,50.25
Hazard communication by volcanologists: Part 2 - quality standards for volcanic hazard assessments,254,44.09,17.32,38.58
"Identifying individuals with chronic pain after knee replacement: A population-cohort, cluster-analysis of Oxford knee scores in 128,145 patients from the English National Health Service 11 Medical and Health Sciences 1103 Clinical Sciences",547,31.81,17.37,50.82
Performance of reconstruction and identification of τ leptons decaying to hadrons and vτ in pp collisions at s=13 TeV,115,36.52,6.09,57.39
 A.,323,38.39,17.03,44.58
Plant organelle dynamics: cytoskeletal control and membrane contact sites,254,31.89,12.99,55.12
Steroids in paediatric heart surgery: eminence or evidence-based practice?,242,38.02,13.64,48.35
BVI-HD: A Video Quality Database for HEVC Compressed and Texture Synthesized Content,317,32.49,16.09,51.42
"Online health information and public knowledge, attitudes, and behaviours regarding antibiotics in the UK: Multiple regression analysis of wellcome monitor and eurobarometer data",354,32.2,11.3,56.5
Unity As An Epistemic Virtue,236,34.75,11.44,53.81
Dysregulation of Mesenchymal Stromal Cell Antioxidant Responses in Progressive Multiple Sclerosis,208,34.13,14.9,50.96
Applying graph theory to protein structures: An Atlas of coiled coils,334,26.35,20.36,53.29
Effect of glass shape on the pouring accuracy of liquid volume,314,31.53,14.01,54.46
Mendelian randomization studies of coffee and caffeine consumption,366,39.89,11.2,48.91
Investigating genetic correlations and causal effects between caffeine consumption and sleep behaviours,249,33.73,16.06,50.2
Smoking as a risk factor for lung cancer in women and men: A systematic review and meta-analysis,522,34.1,12.84,53.07
Use of fall cones to determine Atterberg limits: A review,256,28.12,26.95,44.92
Implications of Simulating Global Digital Elevation Models for Flood Inundation Studies,254,27.56,14.17,58.27
Nonlinear non-collinear ultrasonic detection and characterisation of kissing bonds,518,29.92,13.71,56.37
Randomised controlled trial of the Limit of Detection of Troponin and ECG Discharge (LoDED) strategy versus usual care in adult patients with chest pain attending the emergency department: Study protocol,160,32.5,11.88,55.62
Training in experimental design and statistics is essential: Response to Jordan,297,36.7,14.48,48.82
Recommendations on the most suitable quality-of-life measurement instruments for bariatric and body contouring surgery: a systematic review,201,38.31,11.94,49.75
Reporting of outcomes in gastric cancer surgery trials: A systematic review,290,34.83,15.86,49.31
Structural supercapacitors using a solid resin electrolyte with carbonized electrospun cellulose/carbon nanotube electrodes,354,40.11,15.82,44.07
Climate communication for biologists: When a picture can tell a thousand words,185,37.3,11.89,50.81
Buffer-Induced Current Collapse in GaN HEMTs on Highly Resistive Si Substrates,155,36.13,14.84,49.03
Trial protocol: A multicentre randomised trial of first-line treatment pathways for newly diagnosed immune thrombocytopenia: Standard steroid treatment versus combined steroid and mycophenolate. the FLIGHT trial,316,32.59,16.46,50.95
Estimating an Individual's Probability of Revision Surgery after Knee Replacement: A Comparison of Modeling Approaches Using a National Data Set,220,39.55,10.45,50
The sizing of small surface-breaking fatigue cracks using ultrasonic arrays,199,36.18,15.58,48.24
Volumetric image interpretation in radiology: scroll behavior and cognitive processes,343,32.36,17.2,50.44
DNA methylation derived systemic inflammation indices are associated with head and neck cancer development and survival,358,35.2,19.55,45.25
Inequalities in Implementation and Different Outcomes During the Growth of Laparoscopic Colorectal Cancer Surgery in England: A National Population-Based Study from 2002 to 2012,232,37.5,16.38,46.12
Constraining Conceptual Hydrological Models With Multiple Information Sources,311,38.59,10.61,50.8
Defining the optimal cryoprotectant and concentration for cryopreservation of limbal stem cells,247,31.17,12.55,56.28
Exploring sensitivity to NMSSM signatures with low missing transverse energy at the LHC,178,29.21,13.48,57.3
"Low resting heart rate, sensation seeking and the course of antisocial behaviour across adolescence and young adulthood",104,41.35,12.5,46.15
Signal transduction in astrocytes: Localization and release of inorganic polyphosphate,134,32.84,14.93,52.24
Modelling of the cathodic and anodic photocurrents from Rhodobacter sphaeroides reaction centres immobilized on titanium dioxide,306,39.87,13.4,46.73
Drainage integration and sediment dispersal in active continental rifts: A numerical modelling study of the central Italian Apennines,215,32.56,13.49,53.95
Reducing attrition within clinical trials: The communication of retention and withdrawal within patient information leaflets,264,36.74,13.64,49.62
Disruption of TWIST1 translation by 5′ UTR variants in Saethre-Chotzen syndrome,253,35.18,22.53,42.29
"Gradients of season length and mortality risk cause shifts in body size, reserves and reproductive strategies of determinate growers",320,29.06,19.06,51.88
The effect of HIV prevention products on incentives to supply condomless commercial sex among female sex workers in South Africa,199,31.66,9.55,58.79
Cerebellar Modules and Their Role as Operational Cerebellar Processing Units,222,37.39,12.16,50.45
Adding emollient bath additives to standard eczema management for children with eczema: The BATHE RCT,273,37.73,12.09,50.18
Water vapor sorption and glass transition temperatures of phase-separated amorphous blends of hydrophobically-modified starch and sucrose,203,33,16.75,50.25
Investigating late-onset ADHD: a population cohort investigation,204,36.27,12.25,51.47
The value of pregnancy complication history for 10-year cardiovascular disease risk prediction in middle-aged women,285,34.39,8.42,57.19
Hydrothermal Conversion of Lipid-Extracted Microalgae Hydrolysate in the Presence of Isopropanol and Steel Furnace Residues,340,31.18,21.18,47.65
"The role of climate, water and biotic interactions in shaping biodiversity patterns in arid environments across spatial scales",159,38.99,12.58,48.43
"Global statistics on alcohol, tobacco and illicit drug use: 2017 status report",223,34.08,23.32,42.6
Imaging Lithospheric Discontinuities Beneath the Northern East African Rift Using S-to-P Receiver Functions,152,42.11,7.89,50
Losing cichlid fish biodiversity: genetic and morphological homogenization of tilapia following colonization by introduced species,207,35.75,22.71,41.55
Short-term and long-term cost-effectiveness of a pedometer-based exercise intervention in primary care: A within-trial analysis and beyond-trial modelling,164,33.54,11.59,54.88
Impact of placebo arms on outcomes in antidepressant trials: systematic review and meta-regression analysis,172,32.56,20.93,46.51
One- and two-stage surgical revision of peri-prosthetic joint infection of the hip: a pooled individual participant data analysis of 44 cohort studies,145,30.34,12.41,57.24
Avurt: Aspirin versus placebo for the treatment of venous leg ulcers – a phase II pilot randomised controlled trial,158,33.54,15.19,51.27
Cross-Sectional Associations of Reallocating Time Between Sedentary and Active Behaviours on Cardiometabolic Risk Factors in Young People: An International Children’s Accelerometry Database (ICAD) Analysis,183,36.07,18.03,45.9
Assessment and management of anti-insulin autoantibodies in varying presentations of insulin autoimmune syndrome,151,37.75,17.22,45.03
Obesity and loss of disease-free years owing to major non-communicable diseases: a multicohort study,270,35.19,12.96,51.85
Targeting miR-223 in neutrophils enhances the clearance of Staphylococcus aureus in infected wounds,186,39.25,9.68,51.08
